node_id,longitude,latitude,node_type,source_id
N12d4807011_41d8950096,12.4807011,41.8950096,road_vertex,way/1137951732
N12d4807043_41d8949279,12.4807043,41.8949279,road_vertex,way/222995600
N12d4807050_41d8910062,12.4807050,41.8910062,road_vertex,way/1238101044
N12d4807055_41d8951873,12.4807055,41.8951873,road_vertex,way/1137951718
N12d4807087_41d8926979,12.4807087,41.8926979,road_vertex,way/303405560
N12d4807133_41d8952233,12.4807133,41.8952233,road_vertex,way/1137951719
N12d4807165_41d8900142,12.4807165,41.8900142,road_vertex,way/1216287334
N12d4807171_41d8895095,12.4807171,41.8895095,road_vertex,way/43675696
N12d4807180_41d8920977,12.4807180,41.8920977,road_vertex,way/123817471
N12d4807186_41d8924876,12.4807186,41.8924876,road_vertex,way/1238101041
N12d4807193_41d8847108,12.4807193,41.8847108,road_vertex,way/1433379450
N12d4807211_41d8951872,12.4807211,41.8951872,road_vertex,way/1137951718
N12d4807229_41d8949702,12.4807229,41.8949702,road_vertex,way/222995600
N12d4807271_41d8951879,12.4807271,41.8951879,road_vertex,way/1137951719
N12d4807276_41d8867329,12.4807276,41.8867329,road_vertex,way/143725205
N12d4807320_41d8951750,12.4807320,41.8951750,road_vertex,way/1137951719
N12d4807333_41d8950033,12.4807333,41.8950033,road_vertex,way/1137951732
N12d4807362_41d8942003,12.4807362,41.8942003,road_vertex,way/41156421
N12d4807369_41d8950148,12.4807369,41.8950148,road_vertex,way/222995600
N12d4807373_41d8951604,12.4807373,41.8951604,road_vertex,way/1137951714
N12d4807375_41d8907655,12.4807375,41.8907655,road_vertex,way/1359177693
N12d4807376_41d8909924,12.4807376,41.8909924,road_vertex,way/1359177415
N12d4807412_41d8909860,12.4807412,41.8909860,road_vertex,way/1359177415
N12d4807431_41d8950454,12.4807431,41.8950454,road_vertex,way/222995600
N12d4807464_41d8846766,12.4807464,41.8846766,road_vertex,way/24534817
N12d4807479_41d8964916,12.4807479,41.8964916,road_vertex,way/1197185106
N12d4807524_41d8914368,12.4807524,41.8914368,road_vertex,way/123817469
N12d4807525_41d8951181,12.4807525,41.8951181,road_vertex,way/1137951714
N12d4807576_41d8951039,12.4807576,41.8951039,road_vertex,way/1137951715
N12d4807620_41d8908042,12.4807620,41.8908042,road_vertex,way/1359177417
N12d4807631_41d8909328,12.4807631,41.8909328,road_vertex,way/961979112
N12d4807634_41d8927519,12.4807634,41.8927519,road_vertex,way/303405560
N12d4807653_41d8950935,12.4807653,41.8950935,road_vertex,way/1137951715
N12d4807695_41d8847537,12.4807695,41.8847537,road_vertex,way/1433379450
N12d4807704_41d8920327,12.4807704,41.8920327,road_vertex,way/123817471
N12d4807748_41d8907718,12.4807748,41.8907718,road_vertex,way/1359177693
N12d4807750_41d8937511,12.4807750,41.8937511,road_vertex,way/125226016
N12d4807761_41d8882672,12.4807761,41.8882672,road_vertex,way/27350520
