edge_id,from_node_id,to_node_id,distance_km,travel_time_min,highway,surface,access,oneway,lit,wheelchair,routable_walk,source_id
Eway/11354434_0,N12d4947678_41d8877854,N12d4949248_41d8882492,0.053185,0.64,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_1,N12d4949248_41d8882492,N12d4949366_41d8882839,0.003980,0.05,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_2,N12d4949366_41d8882839,N12d4949500_41d8883223,0.004412,0.05,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_3,N12d4949500_41d8883223,N12d4951011_41d8887544,0.049649,0.60,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_4,N12d4951011_41d8887544,N12d4951178_41d8888021,0.005481,0.07,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_5,N12d4951178_41d8888021,N12d4951321_41d8888409,0.004474,0.05,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_6,N12d4951321_41d8888409,N12d4952704_41d8892282,0.044562,0.53,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_7,N12d4952704_41d8892282,N12d4952813_41d8892597,0.003617,0.04,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_8,N12d4952813_41d8892597,N12d4953059_41d8893277,0.007831,0.09,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354434_9,N12d4953059_41d8893277,N12d4954513_41d8897518,0.048670,0.58,residential,asphalt,,yes,yes,,yes,way/11354434
Eway/11354435_0,N12d4937147_41d8890725,N12d4938286_41d8890500,0.009755,0.12,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354435_1,N12d4938286_41d8890500,N12d4950608_41d8888131,0.105346,1.26,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354435_2,N12d4950608_41d8888131,N12d4951178_41d8888021,0.004874,0.06,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354435_3,N12d4951178_41d8888021,N12d4951495_41d8887964,0.002700,0.03,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354435_4,N12d4951495_41d8887964,N12d4964081_41d8885419,0.107960,1.30,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354435_5,N12d4964081_41d8885419,N12d4964926_41d8885248,0.007249,0.09,residential,asphalt,,yes,yes,,yes,way/11354435
Eway/11354437_0,N12d4940146_41d8884549,N12d4940988_41d8884393,0.007183,0.09,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11354437_1,N12d4940988_41d8884393,N12d4948645_41d8882966,0.065340,0.78,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11354437_2,N12d4948645_41d8882966,N12d4949366_41d8882839,0.006133,0.07,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11354437_3,N12d4949366_41d8882839,N12d4949719_41d8882777,0.003002,0.04,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11354437_4,N12d4949719_41d8882777,N12d4962347_41d8880448,0.107694,1.29,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11354437_5,N12d4962347_41d8880448,N12d4963257_41d8880249,0.007851,0.09,residential,asphalt,,yes,yes,,yes,way/11354437
Eway/11355154_0,N12d4974414_41d8872789,N12d4974592_41d8873272,0.005569,0.07,residential,asphalt,,yes,,,yes,way/11355154
Eway/11355154_1,N12d4974592_41d8873272,N12d4975999_41d8877093,0.044055,0.53,residential,asphalt,,yes,,,yes,way/11355154
Eway/11355154_2,N12d4975999_41d8877093,N12d4976287_41d8877876,0.009027,0.11,residential,asphalt,,yes,,,yes,way/11355154
Eway/11355155_0,N12d4977503_41d8881560,N12d4977581_41d8881795,0.002692,0.03,footway,asphalt,,,,,yes,way/11355155
Eway/11355155_0_R,N12d4977581_41d8881795,N12d4977503_41d8881560,0.002692,0.03,footway,asphalt,,,,,yes,way/11355155
Eway/11355155_1,N12d4977581_41d8881795,N12d4977622_41d8881919,0.001420,0.02,footway,asphalt,,,,,yes,way/11355155
Eway/11355155_1_R,N12d4977622_41d8881919,N12d4977581_41d8881795,0.001420,0.02,footway,asphalt,,,,,yes,way/11355155
Eway/11355710_0,N12d4895928_41d8878512,N12d4896488_41d8878459,0.004673,0.06,footway,sett,,,,,yes,way/11355710
Eway/11355710_0_R,N12d4896488_41d8878459,N12d4895928_41d8878512,0.004673,0.06,footway,sett,,,,,yes,way/11355710
Eway/11359684_0,N12d4952813_41d8892597,N12d4953799_41d8892392,0.008474,0.10,residential,,,yes,yes,,yes,way/11359684
Eway/11359684_1,N12d4953799_41d8892392,N12d4965778_41d8890160,0.102218,1.23,residential,,,yes,yes,,yes,way/11359684
Eway/11359684_2,N12d4965778_41d8890160,N12d4966585_41d8890009,0.006888,0.08,residential,,,yes,yes,,yes,way/11359684
Eway/11376966_0,N12d4959710_41d8868044,N12d4959977_41d8867988,0.002296,0.03,footway,,,,,,yes,way/11376966
Eway/11376966_0_R,N12d4959977_41d8867988,N12d4959710_41d8868044,0.002296,0.03,footway,,,,,,yes,way/11376966
Eway/11377078_0,N12d4961560_41d8875164,N12d4959244_41d8875766,0.020307,0.24,residential,,,yes,yes,,yes,way/11377078
Eway/11380148_0,N12d4995418_41d8880810,N12d4994258_41d8880855,0.009615,0.12,footway,,,,,,yes,way/11380148
Eway/11380148_0_R,N12d4994258_41d8880855,N12d4995418_41d8880810,0.009615,0.12,footway,,,,,,yes,way/11380148
Eway/11380148_1,N12d4994258_41d8880855,N12d4992528_41d8881308,0.015181,0.18,footway,,,,,,yes,way/11380148
Eway/11380148_1_R,N12d4992528_41d8881308,N12d4994258_41d8880855,0.015181,0.18,footway,,,,,,yes,way/11380148
Eway/11380148_2,N12d4992528_41d8881308,N12d4991228_41d8881552,0.011098,0.13,footway,,,,,,yes,way/11380148
Eway/11380148_2_R,N12d4991228_41d8881552,N12d4992528_41d8881308,0.011098,0.13,footway,,,,,,yes,way/11380148
Eway/11380148_3,N12d4991228_41d8881552,N12d4990221_41d8881683,0.008462,0.10,footway,,,,,,yes,way/11380148
Eway/11380148_3_R,N12d4990221_41d8881683,N12d4991228_41d8881552,0.008462,0.10,footway,,,,,,yes,way/11380148
Eway/11380149_0,N12d4992241_41d8882602,N12d4992132_41d8882436,0.002055,0.04,steps,,,,,,yes,way/11380149
Eway/11380149_0_R,N12d4992132_41d8882436,N12d4992241_41d8882602,0.002055,0.04,steps,,,,,,yes,way/11380149
Eway/11380149_1,N12d4992132_41d8882436,N12d4991961_41d8882175,0.003229,0.06,steps,,,,,,yes,way/11380149
Eway/11380149_1_R,N12d4991961_41d8882175,N12d4992132_41d8882436,0.003229,0.06,steps,,,,,,yes,way/11380149
Eway/11380149_2,N12d4991961_41d8882175,N12d4991549_41d8882344,0.003894,0.08,steps,,,,,,yes,way/11380149
Eway/11380149_2_R,N12d4991549_41d8882344,N12d4991961_41d8882175,0.003894,0.08,steps,,,,,,yes,way/11380149
Eway/11380150_0,N12d4992528_41d8881308,N12d4992031_41d8879352,0.022135,0.27,footway,,,,,,yes,way/11380150
Eway/11380150_0_R,N12d4992031_41d8879352,N12d4992528_41d8881308,0.022135,0.27,footway,,,,,,yes,way/11380150
Eway/11491198_0,N12d4961560_41d8875164,N12d4962667_41d8874897,0.009633,0.12,residential,,,yes,yes,,yes,way/11491198
Eway/11491198_1,N12d4962667_41d8874897,N12d4974414_41d8872789,0.100027,1.20,residential,,,yes,yes,,yes,way/11491198
Eway/11491481_0,N12d4929699_41d8894419,N12d4930819_41d8894399,0.009274,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_0_R,N12d4930819_41d8894399,N12d4929699_41d8894419,0.009274,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_1,N12d4930819_41d8894399,N12d4931938_41d8894414,0.009264,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_1_R,N12d4931938_41d8894414,N12d4930819_41d8894399,0.009264,0.11,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_2,N12d4931938_41d8894414,N12d4932627_41d8894481,0.005752,0.07,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_2_R,N12d4932627_41d8894481,N12d4931938_41d8894414,0.005752,0.07,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_3,N12d4932627_41d8894481,N12d4933200_41d8894583,0.004877,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_3_R,N12d4933200_41d8894583,N12d4932627_41d8894481,0.004877,0.06,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_4,N12d4933200_41d8894583,N12d4933681_41d8894678,0.004119,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_4_R,N12d4933681_41d8894678,N12d4933200_41d8894583,0.004119,0.05,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_5,N12d4933681_41d8894678,N12d4934104_41d8894773,0.003657,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_5_R,N12d4934104_41d8894773,N12d4933681_41d8894678,0.003657,0.04,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_6,N12d4934104_41d8894773,N12d4935158_41d8895158,0.009718,0.12,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_6_R,N12d4935158_41d8895158,N12d4934104_41d8894773,0.009718,0.12,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_7,N12d4935158_41d8895158,N12d4935899_41d8895632,0.008087,0.10,footway,asphalt,,,yes,,yes,way/11491481
Eway/11491481_7_R,N12d4935899_41d8895632,N12d4935158_41d8895158,0.008087,0.10,footway,asphalt,,,yes,,yes,way/11491481
