id,lat,lon
192,5.6473523,-0.1818873
193,5.6473683,-0.1818900
194,5.6477193,-0.1818894
195,5.6478048,-0.1818893
196,5.6478228,-0.1818873
197,5.6478375,-0.1818813
198,5.6479056,-0.1818306
199,5.6507144,-0.1835142
200,5.6496287,-0.1871143
201,5.6495750,-0.1871260
202,5.6495415,-0.1871313
203,5.6495082,-0.1871248
204,5.6494791,-0.1871074
205,5.6494576,-0.1870811
206,5.6494462,-0.1870490
207,5.6494464,-0.1870150
208,5.6494580,-0.1869830
209,5.6494797,-0.1869569
210,5.6495090,-0.1869397
211,5.6495424,-0.1869335
212,5.6495758,-0.1869391
213,5.6496339,-0.1869551
214,5.6504853,-0.1813819
215,5.6499948,-0.1813938
216,5.6497973,-0.1813942
217,5.6493782,-0.1813951
218,5.6491407,-0.1813898
219,5.6489912,-0.1814072
220,5.6488044,-0.1814501
221,5.6486362,-0.1815225
222,5.6485788,-0.1815547
223,5.6484040,-0.1816580
224,5.6483546,-0.1816955
225,5.6480223,-0.1819839
226,5.6479612,-0.1820452
227,5.6478134,-0.1821937
228,5.6476459,-0.1823621
229,5.6471654,-0.1828193
230,5.6470352,-0.1829540
231,5.6465449,-0.1834457
232,5.6463934,-0.1835936
233,5.6462566,-0.1837273
234,5.6459038,-0.1840621
235,5.6455967,-0.1843536
236,5.6454939,-0.1844763
237,5.6454759,-0.1845092
238,5.6454692,-0.1845641
239,5.6454745,-0.1849866
240,5.6507568,-0.1868576
241,5.6508047,-0.1869045
242,5.6508348,-0.1869645
243,5.6508437,-0.1870310
244,5.6508305,-0.1870969
245,5.6507966,-0.1871548
246,5.6507458,-0.1871984
247,5.6507242,-0.1872097
248,5.6506375,-0.1872273
249,5.6505517,-0.1872060
250,5.6504913,-0.1871597
251,5.6504523,-0.1870943
252,5.6504401,-0.1870159
253,5.6504588,-0.1869388
254,5.6505006,-0.1868794
255,5.6505606,-0.1868386
256,5.6506392,-0.1868215
257,5.6507182,-0.1868366
258,5.6506842,-0.1812420
259,5.6507256,-0.1812663
260,5.6507569,-0.1813028
261,5.6507760,-0.1813535
262,5.6507751,-0.1814100
263,5.6507532,-0.1814620
264,5.6507133,-0.1815018
265,5.6506668,-0.1815224
266,5.6506160,-0.1815258
267,5.6505672,-0.1815116
268,5.6505262,-0.1814814
269,5.6504964,-0.1814356
270,5.6504946,-0.1813279
271,5.6505170,-0.1812880
272,5.6505505,-0.1812570
273,5.6505919,-0.1812378
274,5.6506372,-0.1812323
275,5.6505544,-0.1903705
276,5.6505814,-0.1891533
277,5.6500923,-0.1871047
278,5.6500896,-0.1869366
279,5.6472549,-0.1879477
280,5.6472576,-0.1875214
281,5.6472515,-0.1866492
282,5.6472562,-0.1861615
283,5.6507223,-0.1878447
284,5.6507243,-0.1880837
285,5.6507291,-0.1884049
286,5.6507273,-0.1890247
287,5.6493976,-0.1816176
288,5.6494064,-0.1824971
289,5.6493976,-0.1831613
290,5.6493957,-0.1833115
291,5.6493933,-0.1834873
292,5.6493886,-0.1839030
293,5.6493903,-0.1840921
294,5.6494090,-0.1849752
295,5.6505520,-0.1878450
296,5.6506301,-0.1878448
297,5.6506741,-0.1878448
298,5.6507695,-0.1878446
299,5.6514583,-0.1878436
300,5.6516620,-0.1878433
301,5.6518325,-0.1878431
302,5.6525927,-0.1878420
303,5.6532616,-0.1878410
304,5.6505662,-0.1862071
305,5.6507197,-0.1862092
306,5.6507516,-0.1862105
307,5.6509698,-0.1862194
308,5.6511152,-0.1862190
309,5.6514702,-0.1862328
310,5.6518586,-0.1862285
311,5.6521955,-0.1862248
312,5.6525915,-0.1862205
313,5.6532700,-0.1862184
314,5.6507047,-0.1825166
315,5.6507138,-0.1839518
